account_id,user_id,account_type,balance,account_status
1,1,Business,302450.74,Blocked
2,2,Business,294166.88,Active
3,2,Savings,304433.45,Blocked
4,2,Business,49112.79,Active
5,3,Business,165703.53,Blocked
6,4,Business,377175.1,Active
7,5,Savings,138150.99,Active
8,6,Business,496484.61,Blocked
9,6,Savings,178989.79,Blocked
10,7,Current,189169.92,Blocked
11,7,Current,88174.06,Blocked
12,8,Business,261791.17,Active
13,8,Savings,147886.2,Active
14,9,Business,346601.92,Blocked
15,9,Savings,89964.08,Blocked
16,10,Business,144103.8,Active
17,10,Savings,383866.55,Blocked
18,11,Business,173412.42,Blocked
19,11,Business,79281.18,Blocked
20,11,Savings,268803.34,Blocked
21,12,Savings,79056.38,Active
22,13,Savings,315037.17,Active
23,13,Business,369947.57,Active
24,13,Savings,35874.24,Blocked
25,14,Business,270467.38,Active
26,14,Business,207044.66,Blocked
27,14,Current,2690.21,Blocked
28,15,Current,485926.5,Active
29,15,Business,165029.68,Active
30,16,Business,170482.94,Active
31,17,Current,202845.44,Active
32,18,Current,154055.47,Blocked
33,18,Business,478048.75,Blocked
34,19,Current,280116.31,Active
35,19,Savings,133372.43,Active
36,20,Business,252640.43,Blocked
37,21,Savings,203929.49,Active
38,21,Business,467128.2,Active
39,22,Business,397012.31,Active
40,22,Business,298061.21,Active
41,22,Current,93820.68,Active
42,23,Current,139173.12,Active
43,23,Current,303418.36,Blocked
44,23,Business,328710.18,Active
45,24,Current,305570.03,Active
46,24,Current,40370.48,Blocked
47,25,Current,458370.15,Active
48,25,Savings,289355.57,Active
49,26,Savings,133588.61,Active
50,26,Current,477021.7,Blocked
51,26,Business,109584.46,Blocked
52,27,Business,359609.56,Blocked
53,27,Current,354402.39,Blocked
54,28,Business,58414.14,Active
55,29,Savings,452348.23,Active
56,29,Current,72087.51,Active
57,29,Savings,411678.27,Blocked
58,30,Current,131167.15,Active
59,30,Current,380711.55,Blocked
60,30,Savings,58577.57,Blocked
61,31,Savings,77467.65,Active
62,31,Business,204817.43,Blocked
63,32,Business,381423.98,Blocked
64,33,Business,425538.72,Blocked
65,34,Current,65201.71,Blocked
66,34,Current,374165.81,Active
67,34,Savings,201256.89,Active
68,35,Business,430669.09,Blocked
69,35,Savings,121997.29,Blocked
70,35,Business,326408.06,Active
71,36,Savings,444882.07,Blocked
72,36,Current,289902.66,Blocked
73,37,Current,34393.57,Active
74,37,Current,140147.08,Active
75,37,Savings,372683.45,Active
76,38,Business,309350.33,Blocked
77,38,Current,161392.93,Blocked
78,39,Current,451818.39,Active
79,40,Savings,404679.22,Active
80,40,Current,246284.68,Active
81,40,Business,293148.32,Active
82,41,Current,251440.51,Active
83,41,Business,19128.05,Blocked
84,41,Current,336612.94,Blocked
85,42,Current,21553.89,Active
86,42,Business,58075.22,Blocked
87,43,Savings,238150.4,Active
88,43,Current,8941.27,Blocked
89,44,Business,335176.48,Blocked
90,45,Current,305566.62,Blocked
91,45,Savings,196431.82,Blocked
92,46,Savings,225409.1,Active
93,47,Business,412557.46,Blocked
94,47,Current,295192.13,Blocked
95,48,Savings,181530.74,Blocked
96,49,Savings,365991.41,Active
97,49,Current,234735.72,Blocked
98,50,Savings,353739.17,Blocked
99,50,Business,236797.61,Blocked
100,51,Business,413521.78,Blocked
101,52,Savings,268125.48,Active
102,52,Business,111655.03,Active
103,52,Business,23332.42,Active
104,53,Savings,457243.74,Active
105,53,Current,409122.93,Active
106,53,Current,96298.91,Blocked
107,54,Current,108363.89,Blocked
108,54,Business,34344.87,Active
109,55,Savings,386007.06,Active
110,56,Current,362989.61,Blocked
111,56,Business,189148.57,Blocked
112,57,Business,52905.44,Active
113,58,Current,328623.74,Active
114,59,Current,449978.5,Blocked
115,59,Savings,359824.23,Active
116,60,Savings,43709.01,Active
117,60,Savings,171704.42,Blocked
118,60,Business,411953.02,Active
119,61,Business,203339.23,Blocked
120,62,Business,319237.14,Blocked
121,62,Business,253145.28,Active
122,63,Business,119769.34,Active
123,63,Current,57107.1,Active
124,63,Business,395480.8,Blocked
125,64,Savings,272652.35,Active
126,65,Savings,127647.22,Blocked
127,65,Business,94506.57,Active
128,65,Business,332069.22,Blocked
129,66,Current,337433.97,Active
130,67,Current,351410.16,Active
131,67,Current,382090.2,Active
132,68,Savings,409454.66,Blocked
133,68,Current,201508.28,Active
134,68,Business,447171.23,Active
135,69,Business,443802.92,Active
136,69,Business,266254.3,Active
137,69,Business,134711.98,Blocked
138,70,Savings,187189.79,Active
139,70,Business,410310.7,Active
140,71,Current,17337.56,Blocked
141,71,Current,100341.91,Active
142,72,Savings,392897.4,Blocked
143,73,Business,319903.46,Blocked
144,73,Business,296291.18,Active
145,74,Savings,107097.79,Blocked
146,74,Savings,238911.31,Blocked
147,74,Savings,313691.13,Blocked
148,75,Savings,173121.33,Active
149,75,Business,244795.18,Blocked
150,76,Business,386059.14,Active
151,77,Savings,194198.97,Blocked
152,77,Current,206070.11,Active
153,78,Current,196016.05,Active
154,78,Business,175197.42,Active
155,79,Current,364840.42,Active
156,79,Savings,461196.88,Active
157,80,Current,217194.02,Blocked
158,81,Savings,27068.13,Active
159,82,Current,403528.1,Active
160,82,Current,38225.61,Active
161,82,Business,428693.68,Blocked
162,83,Business,219464.34,Blocked
163,83,Savings,385888.37,Active
164,83,Current,460292.31,Blocked
165,84,Business,336784.44,Blocked
166,85,Current,36263.87,Blocked
167,86,Savings,384268.65,Active
168,86,Savings,417172.55,Blocked
169,87,Business,231756.88,Active
170,88,Savings,478397.94,Active
171,88,Savings,53337.38,Blocked
172,88,Current,129261.02,Blocked
173,89,Business,253854.17,Active
174,90,Current,207134.84,Active
175,91,Business,34666.45,Active
176,91,Savings,489070.79,Active
177,92,Savings,2870.77,Active
178,92,Business,455622.97,Blocked
179,93,Current,171265.08,Blocked
180,94,Business,60804.69,Active
181,95,Business,411652.12,Blocked
182,95,Savings,258939.97,Blocked
183,95,Business,91701.67,Active
184,96,Savings,407836.61,Active
185,97,Business,208039.47,Blocked
186,97,Business,378489.14,Blocked
187,98,Current,263342.93,Active
188,98,Business,336908.19,Blocked
189,99,Business,251157.55,Active
190,100,Savings,463126.53,Blocked
191,100,Current,412305.58,Active
192,100,Savings,294427.8,Blocked
