transaction_id,sender_account,receiver_account,amount,transaction_type,location,device_id,ip_address,is_suspicious
1,149,13,91799.63,UPI,Dubai,5d1b9583-090e-4720-aa46-9c81e8b46fcc,174.4.20.144,False
2,147,155,79324.91,UPI,London,ead46162-9c1e-4740-9183-e43b97ec6eda,131.185.146.84,False
3,156,37,3268.9,Card Payment,Mumbai,7c442644-6516-4055-951a-0ee5d8f0c285,181.66.208.253,False
4,169,91,81062.85,UPI,Singapore,36c374cf-10fc-42a7-bf0c-aa646738c7b1,187.195.27.22,False
5,172,123,409485.62,Card Payment,Singapore,8aa1e46a-1a48-4177-a653-63bbd28c647c,5.28.16.227,True
6,166,138,88111.73,Card Payment,London,ab0615cb-da01-4242-918e-9aba2e31e612,191.9.253.117,False
7,33,76,34175.32,Wallet Transfer,Mumbai,689b10de-8a27-4647-bba4-5eb0a8c5ada4,11.233.233.149,False
8,96,83,87871.73,Card Payment,Delhi,b869e613-d40a-45c2-8fc2-a6641e250b11,217.229.58.223,False
9,15,169,96393.7,Bank Transfer,London,c8f7d3c4-0d54-46c8-9134-71c8537d8ab4,181.116.215.240,False
10,103,56,20726.64,Bank Transfer,Delhi,072600a6-4baf-4979-aca4-294e8c2e2ed2,221.117.75.207,False
11,80,111,27023.04,Wallet Transfer,New York,23f1bdc5-9ad9-4329-9c66-62d1691ec502,212.119.62.22,False
12,152,70,29749.62,Wallet Transfer,Dubai,20e35add-3f6d-4cf5-b8b4-f407054374d8,21.91.8.219,False
13,35,181,34933.18,Bank Transfer,Singapore,e176f87e-1628-4fce-ade9-06954f39cbb4,133.253.248.76,False
14,154,188,11511.55,Bank Transfer,New York,07921076-18df-4720-aec3-ad93160c6f1a,18.98.42.48,False
15,81,176,92305.88,UPI,New York,97aa6ddc-70cb-4efb-9cac-fe2e09f881c2,57.68.147.169,False
16,110,10,55472.36,Wallet Transfer,New York,3437f466-cbd9-42f0-b553-abf30a9e0d16,90.100.200.50,False
17,150,36,18634.03,Card Payment,London,2bf7bf1d-ff68-43b9-9b9d-7dc694c61624,124.132.165.118,False
18,35,150,75319.59,Bank Transfer,London,e7537d1a-2f7b-43b5-8db0-1251a727af7a,51.227.6.233,False
19,26,124,43281.02,Wallet Transfer,Singapore,697fd563-47c7-4edf-97eb-d46ebbe32663,88.113.137.184,False
20,153,74,76639.44,Card Payment,New York,423e0b5b-85f2-430f-862e-fd3bec7ddb25,180.55.142.42,False
21,186,179,55683.71,Wallet Transfer,Delhi,62f26e81-122f-4866-a71c-bd30b52bc44b,53.121.102.2,False
22,82,150,53576.17,Card Payment,Delhi,f2cf1517-268d-496d-8bbb-b63150520338,192.91.93.140,False
23,124,82,44057.97,Bank Transfer,Singapore,20a0744d-d02d-4f12-81f8-ee75db151b5b,38.173.235.76,False
24,14,111,64666.53,UPI,Delhi,2f6640fe-602a-470d-bcf0-b13020fde1cf,150.27.139.121,False
25,57,192,8583.9,Wallet Transfer,New York,5b00ba6c-cb21-40da-926c-f087c256af0b,152.238.230.21,False
26,151,111,14182.79,UPI,New York,e8ae12ff-8641-4e71-b02c-958aca894595,12.108.201.63,False
27,178,73,88726.46,Bank Transfer,Dubai,b8315063-0146-4370-af3a-89a6002fb850,99.205.112.36,False
28,161,56,59748.03,UPI,New York,6a1b7f18-8797-4e1d-a312-9022869089b7,122.126.190.116,False
29,33,9,5565.36,Card Payment,Singapore,7b389850-8af4-497e-871a-2c0e3666953d,15.159.191.26,False
30,17,51,38056.99,Card Payment,Singapore,a6f40efc-7bb7-4329-a395-48450a5997b2,77.212.104.194,False
31,141,144,13621.74,Card Payment,Singapore,19ac3efa-56df-45bb-90eb-8e2847bd2387,149.186.171.46,False
32,74,162,9327.12,UPI,Delhi,7d47ec08-cceb-4d42-b8d0-526c236045b7,189.182.37.231,False
33,88,39,97801.26,Wallet Transfer,Mumbai,5e42b151-cd7f-4250-8ef9-6751af304544,107.249.69.18,False
34,81,140,32492.86,UPI,New York,99529bc1-97cd-402e-bf60-79f19c7b7cd5,63.141.11.238,False
35,155,17,23266.54,Wallet Transfer,Mumbai,a31e847e-a6b2-4702-825b-27e8eea16656,168.183.127.116,False
36,105,115,15276.99,Bank Transfer,Mumbai,18489314-cc82-4a7f-b42d-333d2ffb7b84,15.159.50.209,False
37,8,137,65385.31,UPI,London,716e729b-1566-440e-9eef-0620c85922e7,188.45.133.103,False
38,134,62,17136.18,Wallet Transfer,New York,fe14d424-a8ef-479c-a26a-46f0e37e7446,28.123.241.237,False
39,79,148,64919.9,Bank Transfer,New York,ec3cf135-c612-4538-b43a-ff75b2784217,210.180.6.143,False
40,185,100,86397.47,UPI,London,8b48bb57-4dec-4f0b-a577-98d7d4352b17,7.182.100.165,False
41,141,154,53929.36,Bank Transfer,Singapore,ee17d0d6-9f10-41a8-a031-1883a627fb40,51.103.212.181,False
42,50,67,825341.12,Bank Transfer,Delhi,13fc59b2-9802-433a-b1a0-a6a1147312a5,103.60.81.184,True
43,36,33,66681.92,Card Payment,Singapore,afad4c12-d81b-4dab-a53b-84d03e545481,154.100.30.158,False
44,93,32,9194.73,Card Payment,Mumbai,ee69e63c-3fd5-48fd-b7a9-2cca5971f87c,141.147.70.48,False
45,38,175,34838.88,Wallet Transfer,Mumbai,b71def48-321f-4653-9fd0-6cc0750b31e9,42.89.21.122,False
46,180,42,82188.2,UPI,New York,6f3c0f65-43e3-4950-8e09-c69594c98b11,83.159.159.155,False
47,5,45,24206.51,Bank Transfer,New York,1cf0bc7e-2529-4c1c-82b4-ac3197ca0670,52.126.99.3,False
48,11,72,29426.74,Bank Transfer,London,59db2170-e17f-4e14-9642-f71f38c9b588,28.55.109.12,False
49,122,158,63552.15,Bank Transfer,New York,b90634b4-8624-4325-a855-d90f5dd05255,147.218.85.222,False
50,22,164,70744.69,UPI,Singapore,b11f7aad-5000-45a7-b8c4-5bae981bbe92,4.110.118.159,False
